seed;iter;clf__n_estimators;clf__max_depth;clf__min_samples_split;clf__min_samples_leaf;mean_accuracy;std_accuracy
4000;9;480;14;12;3;0.9979462458288616;7.568636935861191e-05
4000;10;280;36;19;18;0.997952110346769;8.501730747980807e-05
5000;1;190;48;14;15;0.9979544561539317;0.00010656008166910584
5000;2;120;66;14;2;0.9979368626002099;8.701648277175165e-05
5000;3;370;44;14;17;0.9979474187324431;0.00011034024597092338
5000;4;210;76;4;3;0.997939208407373;8.711128920928357e-05
5000;5;360;98;14;19;0.997952110346769;0.00010911155818651435
5000;6;60;80;8;10;0.9979204419500695;8.331744346981218e-05
5000;7;270;98;15;7;0.9979415542145358;0.00011504025836942076
5000;8;370;98;4;2;0.997939208407373;8.711128920928357e-05
5000;9;200;34;8;8;0.9979427271181173;0.00011355984393304747
5000;10;140;4;15;1;0.9980482884404488;8.574238056027145e-05
6000;1;160;36;7;6;0.9979603206718393;8.677901353221957e-05
6000;2;250;96;6;2;0.9979661851897464;8.40408129050902e-05
6000;3;290;48;19;9;0.9979614935754206;7.488233876744912e-05
6000;4;310;56;14;11;0.997967358093328;7.273893739023422e-05
6000;5;280;4;18;11;0.9980295219831452;7.788998265689291e-05
6000;6;70;36;16;19;0.9979767413219797;6.217495396094665e-05
6000;7;380;78;15;9;0.9979614935754206;7.86457871730869e-05
6000;8;430;14;12;8;0.9979614935754206;7.377181251612697e-05
6000;9;450;12;8;19;0.9979685309969094;7.395805823671574e-05
6000;10;380;36;2;11;0.9979614935754206;7.302207951710668e-05
7000;1;250;6;12;19;0.997932170985884;0.00011087506628050036
7000;2;190;54;18;2;0.9979263064679769;9.901140456567666e-05
7000;3;400;18;20;9;0.9979169232393252;0.00010261398208084776
7000;4;340;6;4;3;0.9979180961429066;0.00011077576033466373
7000;5;180;50;5;8;0.9979169232393252;0.00010261398208084776
7000;6;340;74;4;10;0.9979204419500695;0.00010442136028222294
7000;7;470;26;17;17;0.9979157503357436;0.00010093787703959988
7000;8;70;28;2;6;0.9979227877572324;0.00011172791643398382
7000;9;130;2;6;4;0.9980893400657997;0.0001662215848325346
7000;10;420;98;19;8;0.9979169232393252;0.00010261398208084776
8000;1;410;46;3;20;0.9979368626002099;0.00010281488415022185
8000;2;250;10;13;18;0.9979392084073728;0.0001080472769558579
8000;3;320;16;9;6;0.997932170985884;0.00010683085005470931
8000;4;80;14;4;7;0.9979439000216986;9.761207748932668e-05
8000;5;380;98;12;15;0.9979439000216986;0.0001064438272269601
8000;6;450;76;3;1;0.9978958109748588;0.0001238177375430741
8000;7;200;44;13;18;0.9979368626002099;0.00010294860105439506
8000;8;360;66;6;16;0.9979380355037915;0.00011031530750389093
8000;9;50;30;15;18;0.9979579748646763;0.00011524337265675194
8000;10;50;84;17;1;0.9979439000216986;0.00010811092028878262
9000;1;270;44;3;18;0.9979603206718393;5.9391093679447874e-05
9000;2;140;56;16;6;0.997934516793047;6.752095317007502e-05
9000;3;340;48;17;14;0.9979415542145358;5.413175582123868e-05
9000;4;90;10;7;18;0.997977914225561;8.534032272950246e-05
9000;5;90;28;8;11;0.9979579748646763;6.659779173490699e-05
9000;6;400;54;16;12;0.9979462458288616;6.428538905116525e-05
9000;7;500;48;3;11;0.9979392084073728;5.894934521778504e-05
9000;8;280;18;16;19;0.997934516793047;6.460559054603005e-05
9000;9;400;90;7;18;0.9979333438894656;6.905205242663876e-05
9000;10;390;8;4;15;0.9979380355037915;6.494539875746805e-05
10000;1;410;98;11;2;0.9979309980823026;5.184711461098661e-05
10000;2;490;16;2;1;0.9979309980823026;4.940138446877607e-05
10000;3;210;66;12;6;0.9979392084073728;5.382592424489474e-05
10000;4;110;88;20;13;0.9979251335643953;4.770128352637552e-05
10000;5;50;40;2;19;0.9979274793715582;5.305363278922691e-05
10000;6;190;4;12;19;0.997995507779283;5.962227825792248e-05
