mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29.20950040817261,0.6314724541673313,0.40834956169128417,0.027846199571719722,24,0.5,1,11,441,"{'clf__max_depth': 24, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 11, 'clf__n_estimators': 441}",0.9965591742018084,0.9958390013603264,0.9960790589741538,0.9963991357925902,0.996239097383372,0.9962230935424502,0.00024998798674582856,2
7.642245531082153,0.14391101088347252,0.20821599960327147,0.024668882358267304,10,sqrt,1,9,256,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 9, 'clf__n_estimators': 256}",0.9942386172681443,0.993198367608226,0.993198367608226,0.9942386172681443,0.9938385212450989,0.993742498199568,0.00046768469860612564,14
14.97436056137085,0.2884890730743974,0.21727099418640136,0.007970288000969127,24,0.5,6,5,235,"{'clf__max_depth': 24, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 5, 'clf__n_estimators': 235}",0.9957589821557173,0.9946387132911899,0.9944786748819717,0.9947987517004081,0.9949587901096263,0.9949267824277828,0.00044581542057080335,11
7.92878999710083,0.07254293369570981,0.2124046802520752,0.011849994870511117,10,log2,1,2,272,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 272}",0.9944786748819717,0.9932783868128351,0.9934384252220533,0.9942386172681443,0.993918540449708,0.9938705289269425,0.000457161138099897,13
12.475287628173827,0.18175053472444747,0.31319618225097656,0.05502785128194468,6,sqrt,7,11,522,"{'clf__max_depth': 6, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 522}",0.9857565815795791,0.9877570616948067,0.9872769464671521,0.9864767544210611,0.9891974073777706,0.9872929503080738,0.001172110645665365,18
16.22601971626282,0.34794474555751964,0.2188415050506592,0.007555679076835973,16,0.5,3,4,252,"{'clf__max_depth': 16, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 252}",0.996239097383372,0.9955189245418901,0.9956789629511082,0.9957589821557173,0.9959190205649355,0.9958229975194046,0.0002448116914584047,5
11.732076835632324,0.11053610138815553,0.33059444427490237,0.004279154310855283,24,log2,1,5,348,"{'clf__max_depth': 24, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 348}",0.9967992318156358,0.996239097383372,0.9967192126110267,0.9967992318156358,0.9966391934064175,0.9966391934064175,0.00020866455646004645,1
16.428801679611205,0.7406450874805095,0.3857734680175781,0.026228450165967906,24,log2,3,8,553,"{'clf__max_depth': 24, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 8, 'clf__n_estimators': 553}",0.9960790589741538,0.9952788669280628,0.9953588861326719,0.9956789629511082,0.9951188285188445,0.9955029207009682,0.0003409982516230011,6
4.643218088150024,0.07984369681368554,0.10241646766662597,0.005509639401988008,6,log2,5,11,196,"{'clf__max_depth': 6, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 11, 'clf__n_estimators': 196}",0.9860766583980155,0.987196927262543,0.9875970232855885,0.986396735216452,0.9887172921501161,0.9871969272625429,0.0009345475759402416,20
12.037565279006959,0.16272813062731553,0.2958505153656006,0.01963757728183037,24,log2,6,5,533,"{'clf__max_depth': 24, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 5, 'clf__n_estimators': 533}",0.9956789629511082,0.9943986556773625,0.9943186364727534,0.9951988477234537,0.9946387132911899,0.9948467632231734,0.0005175949949202752,12
